Company Name,Description,Company Website,YC Website,Industries,Full Description,Founders,LinkedIn Profiles
Xylem AI,"Fast, Scalable Infrastructure for Fine-tuning and Inferencing LLMs.",https://xylem.ai,https://www.ycombinator.com/companies/xylem-ai,"S24, B2B, Infrastructure",Xylem AI,"Arko C, Enrique Ferrao, Pranav Reddy","https://linkedin.com/in/arkoc, https://linkedin.com/in/enrique-ferrao, https://linkedin.com/in/pranavreddyg"
Terra,"Terra simplifies product design, manufacturing, and sourcing for SMBs",https://useterralabs.com/,https://www.ycombinator.com/companies/terra-2,"S24, B2B, Supply Chain and Logistics",Terra,"Lev Glushkovskii, Dylan McFarland","https://www.linkedin.com/in/lev-glushkovskii/, https://www.linkedin.com/in/dylan-mcfarland/"
"SureBright Technologies, Inc.",We embed product warranties in consumer purchase journey.,https://surebright.com/,https://www.ycombinator.com/companies/surebright-technologies-inc,"S24, B2B, Retail","SureBright Technologies, Inc.","Manish Chauhan, Sanket Munjal, Co-Founder","https://www.linkedin.com/in/manishchauhan01/, https://www.linkedin.com/in/sanketmunjal/"
Bucket Robotics,Robotic Vision for Manufacturing,https://bucket.bot,https://www.ycombinator.com/companies/bucket-robotics,"S24, Industrials, Manufacturing and Robotics",Bucket Robotics,"Matt Puchalski, Steph Wolski","https://www.linkedin.com/in/matt-puchalski/, https://www.linkedin.com/in/stephan-wolski/"
Oway,Ridesharing unused truck space to make SMB freight 50% cheaper,https://www.oway.io,https://www.ycombinator.com/companies/oway,"S24, B2B, Supply Chain and Logistics",Oway,Phillip Nadjafov,https://www.linkedin.com/in/phillipnadjafov/
Elayne,Support your workforce beyond Bereavement Leave,https://www.elayne.com/,https://www.ycombinator.com/companies/elayne,"S24, B2B, Human Resources",Elayne,"Adria Ferrier, CEO, Jacob Grafenstein, CTO","https://www.linkedin.com/in/adria-ferrier-8b242836/, https://www.linkedin.com/in/jake-grafenstein-33737270/"
Rastro,Building amazon search for second hand products.,https://getrastro.app,https://www.ycombinator.com/companies/rastro,"S24, Consumer",Rastro,"Augustin Baudoin, Baptiste Cumin, Papa Sougou Wele","https://www.linkedin.com/in/augustin-baudoin/, https://www.linkedin.com/in/baptiste-cumin/, https://www.linkedin.com/in/papiswele/"
Weavel,Monitoring for user and AI interactions 🔍,https://weavel.ai,https://www.ycombinator.com/companies/weavel,"S24, B2B, Engineering, Product and Design",Weavel,"Andrew Chung, Hyun Jie Jung, Junyoung Park","https://linkedin.com/in/sounhochung, https://linkedin.com/in/hyunjiejung, https://www.linkedin.com/in/jun-park314/"
Assembly HOA,Tech-enabled HOA management,https://assemblyhoa.com,https://www.ycombinator.com/companies/assembly-hoa,"S24, Real Estate and Construction, Housing and Real Estate",Assembly HOA,"Shreyas Bharadwaj, Allen Liou","https://linkedin.com/in/shreyas-b-732b11252, https://linkedin.com/in/allenliou1"
autarc,autarc is the OS for HVAC installers to install more heat pumps,https://www.autarc.energy/en,https://www.ycombinator.com/companies/autarc,"S24, B2B",autarc,"Etienne-Noel Krause, Founder, Thies Hansen, Marius Seufzer","https://linkedin.com/in/etienne-krause, https://linkedin.com/in/thies-hansen, https://www.linkedin.com/in/marius-seufzer"
Polymet,An AI that can design and code,https://polymet.ai,https://www.ycombinator.com/companies/polymet,"S24, B2B, Engineering, Product and Design",Polymet,"Yusuf Hilmi, Furkan Köseoğlu","https://linkedin.com/in/yusufhilmi, https://www.linkedin.com/in/furkanksl"
Kontigo,USDC-based neobank for Latam SMBs,https://kontigo.lat/,https://www.ycombinator.com/companies/kontigo,"S24, Fintech, Banking and Exchange",Kontigo,"jesus alberto Castillo ferrer, CEO & Co-founder, Gino Guatavita","https://www.linkedin.com/in/jesus-castillo-81a58b186/, https://linkedin.com/in/gino-guatavita-7269139b"
Remo,Building cross-border payments in the Middle East.,http://remomoney.com,https://www.ycombinator.com/companies/remo,"S24, Fintech",Remo,,"https://linkedin.com/in/rabii-malik, https://linkedin.com/in/hashimrehman"
Argil,The video generation engine for the creator economy,https://www.argil.ai/,https://www.ycombinator.com/companies/argil,"S24, Consumer",Argil,"Brivael Le Pogam, Laodis Menard","https://linkedin.com/in/brivael-le-pogam-bbbb7185, https://linkedin.com/in/laodis"
ZeroPath,"Automatically find, verify, and fix web app vulnerabilities",https://zeropath.com,https://www.ycombinator.com/companies/zeropath,"S24, B2B, Security",ZeroPath,"Nathan Hrncirik, Founder, Raphael Karger, Etienne Lunetta, Dean Valentine",https://www.linkedin.com/in/raphael-karger/
Lumen Orbit,Data centers in space,https://www.lumenorbit.com/,https://www.ycombinator.com/companies/lumen-orbit,"S24, Industrials, Aviation and Space",Lumen Orbit,"Philip Johnston, CEO, Ezra Feilden, Adi Oltean","https://linkedin.com/in/johnstonphilip, https://linkedin.com/in/ezrafeilden, https://www.linkedin.com/in/adioltean/"
Zimi,Amazon-like fulfillment for exporters in emerging markets,https://www.withzimi.com,https://www.ycombinator.com/companies/zimi,"S24, B2B, Supply Chain and Logistics",Zimi,"Audrey Djiya, Founder/CEO, Peter Nsaka, Founder/CTO","https://linkedin.com/in/audrey-elodie-djiya-7a7a24101, https://www.linkedin.com/in/nsakapeter/"
Thyme,Meeting intelligence for financial advisors.,https://www.meetthyme.com/,https://www.ycombinator.com/companies/thyme,"S24, B2B, Finance and Accounting",Thyme,"Daniel Lantz, Fernando San Martin","https://www.linkedin.com/in/dflantz/, https://linkedin.com/in/fsanmartinjorquera"
Ionworks,Build and run battery simulations at scale,https://ionworks.com/,https://www.ycombinator.com/companies/ionworks,"S24, Industrials, Energy",Ionworks,"Valentin Sulzer, Founder, Rob Timms, Tom Tranter","https://www.linkedin.com/in/valentinsulzer/, https://www.linkedin.com/in/robertwtimms/, https://www.linkedin.com/in/tom-tranter-355a1033/"
Zigma - by NextUI,Open-source design system creation & management platform.,https://zigma.io,https://www.ycombinator.com/companies/zigma-by-nextui,"S24, B2B, Engineering, Product and Design",Zigma - by NextUI,Junior Garcia,https://www.linkedin.com/in/jrgarciadev/
&AI,AI-powered patent due diligence,https://www.tryandai.com/,https://www.ycombinator.com/companies/ai-2,"S24, B2B, Legal",&AI,"Caleb Harris, Herbert Turner","https://www.linkedin.com/in/caleb-m-harris, https://linkedin.com/in/herbert-turner-1b511b238"
Odo,Win more government contracts at a fraction of the cost,https://www.odo.do/,https://www.ycombinator.com/companies/odo,"S24, Government",Odo,"Yooni Ahn, Andrew Wagner","https://www.linkedin.com/in/yooni-ahn/, https://www.linkedin.com/in/drewag"
Cartage,Autonomous freight operations,https://www.cartage.ai,https://www.ycombinator.com/companies/cartage,"S24, B2B, Supply Chain and Logistics",Cartage,"Abdul Basharat, Josh Lampen","https://www.linkedin.com/in/abashara/, https://www.linkedin.com/in/joshlampen"
Lilac Labs,We automate the person taking order at the drive thru with a voice AI.,https://www.drive-thru.ai/,https://www.ycombinator.com/companies/lilac-labs,"S24, B2B",Lilac Labs,"Tony Kam, Co-Founder / CEO, Shelden Shi, Co-Founder / CTO","https://linkedin.com/in/tonyshekkam, https://linkedin.com/in/sheldenshi"
Guardian RF,UAV detection.,https://guardianrf.com/,https://www.ycombinator.com/companies/guardian-rf,"S24, Industrials, Drones",Guardian RF,"John Andrzejewski, Eli Kerstein, Lucas Raskin","https://www.linkedin.com/in/john-andrzejewski/, https://www.linkedin.com/in/eli-kerstein-64a98919a/, https://www.linkedin.com/in/lucas-r-422937242/"
Laminar AI,Developer platform to ship reliable LLM agents 10x faster.,https://www.lmnr.ai/,https://www.ycombinator.com/companies/laminar-ai,"S24, B2B, Engineering, Product and Design",Laminar AI,"Robert Kim, Din Mailibay, Founder, Temirlan Myrzakhmetov","https://www.linkedin.com/in/skull8888888/, https://www.linkedin.com/in/dinmukhamedm, https://www.linkedin.com/in/temirrr/"
Cerulion,Cross-platform robot middleware with no-code GUI,https://www.cerulion.com,https://www.ycombinator.com/companies/cerulion,"S24, B2B",Cerulion,"Se Hwan Jeon, Lakshay ‎  Sharma","https://www.linkedin.com/in/sehwan-jeon/, https://www.linkedin.com/in/lakshay2010sharma/"
SchemeFlow,Automate the technical reports required for construction projects.,https://www.schemeflow.com,https://www.ycombinator.com/companies/schemeflow,"S24, Real Estate and Construction",SchemeFlow,"Andrew Browning, Jonny Browning, James Griffith","https://linkedin.com/in/browningandrew, https://linkedin.com/in/jonnybrowning, https://linkedin.com/in/griffithjames"
Brighterway,Automating the workers-compensation claims review process,https://www.brighterway.ai/,https://www.ycombinator.com/companies/brighterway,"S24, Healthcare, Healthcare IT",Brighterway,"Walker Wells, Jason Apostol","https://www.linkedin.com/in/walker-wells-8a85b1198/, https://linkedin.com/in/jason-apostol-063039a5"
Soff,Automating manufacturing supply chains.,https://soff.ai,https://www.ycombinator.com/companies/soff,"S24, B2B",Soff,"Berni Hausleitner, Raban von Spiegel","https://www.linkedin.com/in/hausleitnerb/, https://linkedin.com/in/rabanspiegel"
Parley,Automating visa applications,https://parley.so,https://www.ycombinator.com/companies/parley,"S24, B2B, Legal",Parley,"Ian Edwards, Jackson Perry, Philip Smart","https://linkedin.com/in/ian-edwards, https://linkedin.com/in/jackson-perry, https://linkedin.com/in/phildsmart"
Intryc,Intryc uses AI to automate quality assurance for customer support,https://intryc.com,https://www.ycombinator.com/companies/intryc,"S24, B2B, Operations",Intryc,"Alex Marantelos, Dimitrios Ilias, George Pastakas","https://www.linkedin.com/in/alexmarantelos/, https://www.linkedin.com/in/dimilias/, https://www.linkedin.com/in/georgepastakas/"
Remade,Generative AI Product Photography for Businesses,https://www.remade.ai/,https://www.ycombinator.com/companies/remade,"S24, B2B, Marketing",Remade,"Christos Antonopoulos, Blendi Bylygbashi, Alex Matthews, Rehan Sheikh","https://www.linkedin.com/in/christos-antonopoulos-6534031b0/, https://www.linkedin.com/in/blendibylygbashi/, https://www.linkedin.com/in/alex-matthews-1b282918b/, https://www.linkedin.com/in/rehan-sheikh-1102"
Distro,The AI co-pilot for sales reps at industrial wholesale distributors.,https://distro.app,https://www.ycombinator.com/companies/distro,"S24, B2B, Supply Chain and Logistics",Distro,Jason Sullivan,https://linkedin.com/in/jasoncsullivan
Modern Realty,The AI real estate agent for home buying,https://modernrealty.io,https://www.ycombinator.com/companies/modern-realty,"S24, Real Estate and Construction, Housing and Real Estate",Modern Realty,"Raffi Isanians, Raymond Xu","https://www.linkedin.com/in/raffi-isanians/, https://www.linkedin.com/in/raymond-y-xu/"
David AI,The data marketplace for AI,https://www.withdavid.ai/,https://www.ycombinator.com/companies/david-ai,"S24, B2B",David AI,"Tomer Cohen, Ben Wiley, Founder","https://www.linkedin.com/in/cohen-tomer/, https://www.linkedin.com/in/benwileymn"
BeeBettor,Automate and monetize sports betting strategies,https://beebettor.com,https://www.ycombinator.com/companies/beebettor,"S24, Consumer, Content",BeeBettor,"Jordan Murphy, Matthew Wolfe","https://linkedin.com/in/jordan-murphy-645319178, https://www.linkedin.com/in/mathyou-wolfe"
Stempad,Text editor for fast scientific writing.,https://www.stempad.io,https://www.ycombinator.com/companies/stempad,"S24, B2B, Productivity",Stempad,Ralph Rouhana,https://www.linkedin.com/in/ralph-rouhana
Pax,AI Powered Tax Rebates for Importers,https://getpaxai.com/,https://www.ycombinator.com/companies/pax,"S24, B2B, Supply Chain and Logistics",Pax,"Penny Chen, Chris Le, Founder","https://www.linkedin.com/in/pennypinyichen/, https://linkedin.com/in/ctle"
Conductor Quantum,Quantum computers on silicon chips using AI.,https://www.conductorquantum.com,https://www.ycombinator.com/companies/conductor-quantum,"S24, Industrials",Conductor Quantum,"Joel Pendleton, Founder, Brandon Severin","https://www.linkedin.com/in/joelpendleton/, https://www.linkedin.com/in/brandon-severin/"
Drillbit,Automating home service business operations.,https://www.drillbit.com,https://www.ycombinator.com/companies/drillbit,"S24, B2B, Operations",Drillbit,"Alexander Seutin, Liam Osler","https://www.linkedin.com/in/aseutin, https://www.linkedin.com/in/liamosler/"
Unriddle,Read and write research papers faster.,https://www.unriddle.ai/,https://www.ycombinator.com/companies/unriddle,"S24, Consumer",Unriddle,Naveed Janmohamed,https://linkedin.com/in/naveedjanmo
FINNY AI,Using ML to supercharge organic growth for Financial Advisors,https://www.finnyai.com/,https://www.ycombinator.com/companies/finny-ai,"S24, Fintech, Asset Management",FINNY AI,"Theodore Janson, Eden Ovadia, Victoria Toli","https://linkedin.com/in/theodore-janson, https://linkedin.com/in/edenovadia, https://www.linkedin.com/in/victoria-toli/"
Focal,AI automation for enterprises,https://usefocal.ai,https://www.ycombinator.com/companies/focal-2,"S24, B2B, Operations",Focal,"Katia Bazzi, Co-Founder, Ray Morgan, CEO / Co-Founder","https://www.linkedin.com/in/katiabazzi/, https://www.linkedin.com/in/raycmorgan/"
1849 bio,We make microbes enabling ultra cheap metal extraction.,https://www.1849.bio,https://www.ycombinator.com/companies/1849-bio,"S24, Industrials",1849 bio,"Jai Padmakumar, Founder, Yongjin Park","https://linkedin.com/in/jai-padmakumar, https://www.linkedin.com/in/yongjin-park-6604092a/"
ReactWise,Automated chemical process optimization,https://www.react-wise.com/,https://www.ycombinator.com/companies/reactwise,"S24, B2B, Engineering, Product and Design",ReactWise,"Alexander Pomberger, Daniel Wigh","https://linkedin.com/in/apomberger, https://linkedin.com/in/daniel-wigh"
Ontra Mobility,Platform for planning and operating multimodal transit systems,https://www.ontramobility.com,https://www.ycombinator.com/companies/ontra-mobility,"S24, B2B, Supply Chain and Logistics",Ontra Mobility,"Anthony Trasatti, Founder, Connor Riley","https://linkedin.com/in/anthony-trasatti, https://linkedin.com/in/connortriley"
Panora,"Add integrations to your product in hours, not months. Open-Source.",https://panora.dev,https://www.ycombinator.com/companies/panora,"S24, B2B",Panora,"Rachid Flih, Nael Ould Belkacem","https://linkedin.com/in/rflih, https://linkedin.com/in/naelbc"
Manaflow,Build and manage your dream AI operations team.,https://manaflow.ai,https://www.ycombinator.com/companies/manaflow,"S24, B2B",Manaflow,"Lawrence Chen, Founder, Wesley Tjangnaka, Austin Wang","https://www.linkedin.com/in/lawrencecchen/, https://linkedin.com/in/wesleytjangnaka, https://www.linkedin.com/in/austinwang115/"
Conveo.ai,AI-moderated consumer video interviews with AI setup & analysis,https://conveo.ai/,https://www.ycombinator.com/companies/conveo-ai,"S24, B2B",Conveo.ai,"Dieter De Mesmaeker, Ben De Smet, Hendrik Van Hove","https://www.linkedin.com/in/dieterdemesmaeker/, https://www.linkedin.com/in/bendesmet1/, https://linkedin.com/in/hendrik-van-hove"
Kastle,AI loan officer assistants for mortgage lenders,https://kastle.ai/,https://www.ycombinator.com/companies/kastle,"S24, B2B",Kastle,"Rishi Choudhary, Nitish Poddar, Founder","https://www.linkedin.com/in/choudharyrishi/, https://www.linkedin.com/in/nitish-poddar/"
Arctic Capture,Genetically engineering cyanobacteria for carbon capture.,https://arcticcapture.com,https://www.ycombinator.com/companies/arctic-capture,"S24, Industrials, Climate",Arctic Capture,"Ankit Singhal, Vignesh Karthik, Connor Lee","https://www.linkedin.com/in/ankit-singhal-columbia/, https://www.linkedin.com/in/vigkart/, https://www.linkedin.com/in/connor-lee-692a40263"
Fazeshift,Better Accounts Receivable with Zero Employees,https://www.fazeshift.com/,https://www.ycombinator.com/companies/fazeshift,"S24, B2B, Finance and Accounting",Fazeshift,"Timmy Galvin, Caitlin Leksana","https://www.linkedin.com/in/timmygalvin/, https://www.linkedin.com/in/caitlinleksana/"
Zenbase AI,"Prompt engineering, automated.",https://zenbase.ai,https://www.ycombinator.com/companies/zenbase-ai,"S24, B2B, Engineering, Product and Design",Zenbase AI,"Cyrus Nouroozi, Founder & CEO, Amir Mehr, Co-Founder & CTO","https://linkedin.com/in/knouroozi, https://www.linkedin.com/in/amir--mehr/"
Mito Health,Measure over 100 biomarkers to prevent disease and achieve peak health,https://mitohealth.com/,https://www.ycombinator.com/companies/mito-health,"S24, Healthcare, Consumer Health and Wellness",Mito Health,"Teeming Chew, Joel Kek, Kenneth Lou, Ryan Ware","https://www.linkedin.com/in/teemingchew/, https://www.linkedin.com/in/joelkek, https://www.linkedin.com/in/kenneth-lou/, https://www.linkedin.com/in/ryanwarey/"
Pulse AI,Supercharging ERPs with LLMs,https://www.trypulse.ai,https://www.ycombinator.com/companies/pulse-ai,"S24, B2B, Supply Chain and Logistics",Pulse AI,"Sid Manchkanti, Ritvik Pandey","https://www.linkedin.com/in/sidmanchkanti/, https://www.linkedin.com/in/ritvikpandey22/"
Merse,Discover and Create Audio-Visual Comics,https://merse.co,https://www.ycombinator.com/companies/merse-2,"S24, Consumer",Merse,"Kumar Abhirup, Mark Rachapoom","https://www.linkedin.com/in/kumareth, https://www.linkedin.com/in/markrachapoom/"
AminoAnalytica,AI for enhanced functional proteins,https://www.aminoanalytica.app,https://www.ycombinator.com/companies/aminoanalytica,"S24, B2B, Engineering, Product and Design",AminoAnalytica,"Matteo Peluso, Abhi Rajendran, CEO & Co-founder, Adam Wu","https://linkedin.com/in/matteo-peluso-872b85199, https://linkedin.com/in/abhirajen, https://linkedin.com/in/akhwu"
Gauge,Solving the monolith/microservices dilemma,https://gauge.sh,https://www.ycombinator.com/companies/gauge,"S24, B2B, Engineering, Product and Design",Gauge,"Caelean Barnes, Evan Doyle","https://linkedin.com/in/caelean, https://www.linkedin.com/in/evan-doyle-060b0ab9"
Tandem,Marketplace to help companies lease and share office space,https://tandem.space/,https://www.ycombinator.com/companies/tandem-2,"S24, B2B, Office Management",Tandem,"Kristen Gallogly, Rafi Sands, Brendan Suh","https://linkedin.com/in/kristengallogly, https://linkedin.com/in/rafisands, https://linkedin.com/in/brendansuh"
AnswerGrid,Accelerate your web research.,https://answergrid.ai/,https://www.ycombinator.com/companies/answergrid,"S24, Consumer",AnswerGrid,"Bolu Ben-Adeola, Noah Ohrner","https://www.linkedin.com/in/ben-adeola, https://www.linkedin.com/in/noah-ohrner"
Passage,"Clear your goods in minutes, with AI",https://www.trypassage.com/,https://www.ycombinator.com/companies/passage,"S24, B2B, Supply Chain and Logistics",Passage,"Terrell Marshall, Aditya Nadkarni","https://linkedin.com/in/terrellm, https://linkedin.com/in/aditya-nadkarni"
Sam,AI that resolves support tickets like a human,https://hiresam.ai/,https://www.ycombinator.com/companies/sam,"S24, B2B, Operations",Sam,"Mads Liechti, Anker Ryhl","https://linkedin.com/in/mads-lunau-liechti-a51210185, https://linkedin.com/in/anker-bach-ryhl"
Elevate,Financial infrastructure for AI agents,https://www.useelevate.dev/,https://www.ycombinator.com/companies/elevate-2,"S24, Fintech, Payments",Elevate,"Scott Cara, Angelica Schwartz","https://www.linkedin.com/in/scott-cara-31829041, https://www.linkedin.com/in/angelica-schwartz-2a694262/"
Offstream,streamlining compliance for the low carbon economy,https://www.useoffstream.com/,https://www.ycombinator.com/companies/offstream,"S24, Industrials, Climate",Offstream,"Zach Janicki, Varsha Ramesh Walsh","https://www.linkedin.com/in/zachjanicki, https://www.linkedin.com/in/varsha-ramesh/"
Solarflare,Real-time Postgres data in React,https://solarflarehq.com,https://www.ycombinator.com/companies/solarflare,"S24, B2B, Infrastructure",Solarflare,"George Seabridge, Will Taylor","https://www.linkedin.com/in/george-seabridge/, https://www.linkedin.com/in/willgeorgetaylor/"
Unbound Security,Secure Gen AI apps for the modern enterprise,https://www.unboundsecurity.ai/,https://www.ycombinator.com/companies/unbound-security,"S24, B2B, Security",Unbound Security,"Rajaram Srinivasan, Vignesh Subbiah","https://linkedin.com/in/rajaramsrinivasan, https://www.linkedin.com/in/vigneshsubbiah16/"
Sorcerer,"10,000 balloons powering the worlds most accurate weather forecasts",https://sorcerer.earth,https://www.ycombinator.com/companies/sorcerer,"S24, Industrials, Climate",Sorcerer,"Austin Tindle, CEO, Maxmillion McLaughlin, CTO, Alessandro Vecchi, CPO","https://www.linkedin.com/in/austintindle, https://www.linkedin.com/in/maxmclau/, https://www.linkedin.com/in/avecchi/"
Wordware,IDE for Building AI Agents with Natural Language Programming,https://wordware.ai/,https://www.ycombinator.com/companies/wordware,"S24, B2B, Infrastructure",Wordware,"Filip Kozera, Robert Chandler","https://linkedin.com/in/filipkozera, https://linkedin.com/in/robertjhchandler"
Maitai,Production-ready AI without the heavy lift,https://trymaitai.ai,https://www.ycombinator.com/companies/maitai,"S24, B2B, Engineering, Product and Design",Maitai,"Christian DalSanto, Ian Hoegen, Co-founder and CTO","https://linkedin.com/in/christian-dalsanto, https://linkedin.com/in/ihoegen"
Corgi,Corgi is building an AI insurance company,https://www.corgi.insure/,https://www.ycombinator.com/companies/corgi,"S24, Fintech, Insurance",Corgi,"Nico Laqua, Ryan McGregor, Noah Sofio, Emily Yuan","https://www.linkedin.com/in/nico-laqua-302b17233, https://www.linkedin.com/in/ryan-mcgregor-6517a1149, https://www.linkedin.com/in/noah-sofio-338a9611b, https://www.linkedin.com/in/emilyyuan96"
Phonely,Go from a website to an AI receptionist in just a few minutes,https://phonely.ai,https://www.ycombinator.com/companies/phonely,"S24, B2B",Phonely,"Will Bodewes, Nisal Ranasinghe","https://www.linkedin.com/in/william-bodewes/, https://www.linkedin.com/in/nisalr"
Stack Auth,Open-source auth & user management for developers,https://stack-auth.com,https://www.ycombinator.com/companies/stack-auth,"S24, B2B, Engineering, Product and Design",Stack Auth,"Zai Shi, Konstantin Wohlwend","https://www.linkedin.com/in/zaishi, https://www.linkedin.com/in/stan-wohlwend-b30340167/"
Flyflow,AI-powered phone support that beats IVR and human agents,https://flyflow.dev/,https://www.ycombinator.com/companies/flyflow,"S24, B2B, Infrastructure",Flyflow,"Carl Cortright, Pritee Tembhekar","https://www.linkedin.com/in/carlcortright/, https://linkedin.com/in/priteet"
Entangl,Automating Engineering Design,https://www.entangl.ai/,https://www.ycombinator.com/companies/entangl,"S24, B2B, Engineering, Product and Design",Entangl,"Shapol M, Antanas Zilinskas","https://linkedin.com/in/shapol, https://www.linkedin.com/in/antanaszilinskas"
ClaimSorted,Third Party Administrator handling insurance claims with AI,https://claimsorted.com,https://www.ycombinator.com/companies/claimsorted,"S24, Fintech, Insurance",ClaimSorted,"Pavel Gertsberg, German Mikulski","https://linkedin.com/in/pavel-gertsberg, https://www.linkedin.com/in/german-mikulski/"
mdhub,Clinical AI assistant for mental health clinicians,https://www.mdhub.ai/,https://www.ycombinator.com/companies/mdhub,"S24, Healthcare",mdhub,"Efren A. Lamolda, Dominik Middelmann","https://linkedin.com/in/efrenal, https://www.linkedin.com/in/dominik-middelmann-01232378/"
Hamming AI,Making AI reliable,https://hamming.ai/,https://www.ycombinator.com/companies/hamming-ai,"S24, B2B, Engineering, Product and Design",Hamming AI,"Marius Buleandra, Sumanyu Sharma, 🚀 Hamming - Let AI optimize your prompts (free for 7 days)","https://linkedin.com/in/mariusbuleandra, https://linkedin.com/in/sumanyusharma"
Spaceium Inc,Service hubs in space for spacecraft refuelling and repairs,https://spaceium.com,https://www.ycombinator.com/companies/spaceium-inc,"S24, Industrials, Aviation and Space",Spaceium Inc,"Ashi Dissanayake, Reza Fetanat","https://linkedin.com/in/ashi-dissanayake, https://linkedin.com/in/rezafetanat"
Comfy Deploy,Best place for product teams to use ComfyUI.,https://comfydeploy.com,https://www.ycombinator.com/companies/comfy-deploy,"S24, B2B, Engineering, Product and Design",Comfy Deploy,"Nicholas Kao, Benny Kok","https://www.linkedin.com/in/nick-kao-468540174/, https://www.linkedin.com/in/benny-kok-226a52127/"
Synnax,Control & Sensor Data Processing for High-Cadence Hardware Teams,https://synnaxlabs.com,https://www.ycombinator.com/companies/synnax,"S24, B2B, Infrastructure",Synnax,"Emiliano Bonilla, Patrick Dotson, Elham Islam","https://www.linkedin.com/in/emiliano-bonilla-8a0a95187/, https://www.linkedin.com/in/patrick-dotson/, https://www.linkedin.com/in/elham-islam-/"
Saphira AI,Vanta for Hardware,https://saphira.ai,https://www.ycombinator.com/companies/saphira-ai,"S24, B2B, Engineering, Product and Design",Saphira AI,"Akshay Chalana, Oscar Avatare","https://linkedin.com/in/akshaychalana, https://linkedin.com/in/oavatare"
Glasskube,The next generation Package Manager for Kubernetes,https://glasskube.dev/,https://www.ycombinator.com/companies/glasskube,"S24, B2B, Infrastructure",Glasskube,"Philip Miglinci, CEO, Louis Weston, President","https://www.linkedin.com/in/pmigat/, https://www.linkedin.com/in/louisnweston/"
Mem0,The Memory Layer for Personalized AI,https://mem0.ai,https://www.ycombinator.com/companies/mem0,"S24, B2B, Infrastructure",Mem0,"Taranjeet Singh, Deshraj Yadav","https://linkedin.com/in/taranjeet7114, https://linkedin.com/in/deshrajdry"
